step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
2030,1.54239871e-02,3.88539722e-03,2.51906157e-01,4.01318610e-01,5348,1.34703267e+00,1.25329304e+00
2040,1.23235313e-02,3.53932753e-03,2.87200749e-01,4.35799778e-01,6471,1.30873311e+00,1.26895189e+00
2050,1.26090683e-02,3.26230400e-03,2.58726805e-01,4.37827170e-01,8451,1.54760170e+00,1.26730895e+00
2060,1.24551067e-02,3.43254604e-03,2.75593460e-01,4.29860711e-01,7270,1.39694929e+00,1.27674460e+00
2070,1.34117939e-02,4.15368471e-03,3.09703887e-01,4.42712039e-01,5512,1.40454853e+00,1.30983508e+00
2080,1.29965264e-02,3.54644307e-03,2.72876233e-01,4.36804324e-01,6547,1.33386135e+00,1.25701010e+00
2090,1.30667640e-02,3.78140761e-03,2.89391279e-01,4.22633052e-01,7050,1.51549911e+00,1.35073566e+00
2100,1.24338102e-02,3.19958688e-03,2.57329553e-01,4.44744170e-01,8118,1.44338167e+00,1.23795819e+00
2110,1.28325969e-02,3.37874074e-03,2.63293594e-01,4.38633800e-01,7382,1.39664555e+00,1.23588312e+00
2120,1.40233608e-02,3.45038832e-03,2.46045753e-01,3.92422020e-01,7568,1.44447327e+00,1.27126777e+00
2130,1.37248076e-02,3.80405947e-03,2.77166694e-01,4.14496601e-01,6257,1.38924551e+00,1.28786206e+00
2140,1.33901518e-02,3.67589435e-03,2.74522245e-01,4.44200933e-01,5934,1.29455376e+00,1.23658574e+00
2150,1.23040294e-02,3.61955166e-03,2.94176131e-01,4.36173350e-01,6985,1.45457137e+00,1.29528189e+00
2160,1.38772260e-02,3.49728065e-03,2.52015829e-01,4.12537396e-01,6927,1.38484192e+00,1.24648964e+00
2170,1.26937144e-02,3.35043110e-03,2.63944119e-01,4.41782504e-01,7080,1.35599697e+00,1.23052764e+00
2180,1.39913596e-02,3.40304431e-03,2.43224710e-01,4.17622477e-01,7357,1.43329394e+00,1.24970591e+00
2190,1.20671773e-02,3.11699370e-03,2.58303463e-01,4.33015168e-01,8499,1.43359518e+00,1.24248052e+00
2200,1.40141733e-02,3.65125644e-03,2.60540277e-01,4.20782179e-01,6214,1.37194240e+00,1.25930226e+00
2210,1.39251603e-02,3.65490024e-03,2.62467384e-01,4.06997263e-01,6679,1.45210159e+00,1.30976427e+00
2220,1.34224016e-02,3.85278161e-03,2.87041157e-01,4.28091943e-01,6165,1.43394756e+00,1.28553820e+00
2230,1.47933653e-02,3.55677446e-03,2.40430385e-01,4.44221020e-01,6076,1.40164995e+00,1.22579408e+00
2240,1.36775114e-02,3.62354168e-03,2.64926970e-01,4.40519154e-01,6152,1.36301887e+00,1.24330115e+00
2250,1.18933553e-02,3.49180400e-03,2.93592840e-01,4.28390056e-01,7204,1.35033906e+00,1.29668021e+00
2260,1.28839966e-02,3.57468403e-03,2.77451485e-01,4.23528880e-01,6216,1.28674805e+00,1.27791905e+00
2270,1.31717212e-02,3.60719627e-03,2.73859143e-01,4.06431973e-01,7364,1.43926501e+00,1.32357883e+00
2280,1.22988522e-02,3.24988901e-03,2.64243275e-01,4.30379868e-01,7738,1.34352922e+00,1.23651516e+00
